datetime,open,high,low,close
2026-05-25 00:00:00,0.78348,0.78348,0.78306,0.7831
2026-05-25 00:15:00,0.7831,0.78348,0.7831,0.78337
2026-05-25 00:30:00,0.78337,0.78344,0.78337,0.78337
2026-05-25 00:45:00,0.78338,0.7838,0.78313,0.78365
2026-05-25 01:00:00,0.78365,0.78365,0.78251,0.78273
2026-05-25 01:15:00,0.78268,0.78291,0.78227,0.78232
2026-05-25 01:30:00,0.78233,0.78233,0.78197,0.78203
2026-05-25 01:45:00,0.78202,0.78216,0.78187,0.78198
2026-05-25 02:00:00,0.78197,0.78197,0.78175,0.78192
2026-05-25 02:15:00,0.78193,0.78199,0.78182,0.78188
2026-05-25 02:30:00,0.7819,0.782,0.7818,0.78191
2026-05-25 02:45:00,0.78192,0.78232,0.78183,0.78229
2026-05-25 03:00:00,0.78231,0.78246,0.78214,0.78229
2026-05-25 03:15:00,0.7823,0.78234,0.78206,0.78213
2026-05-25 03:30:00,0.78214,0.78238,0.782,0.78231
2026-05-25 03:45:00,0.7823,0.78249,0.7816,0.78236
2026-05-25 04:00:00,0.78237,0.78243,0.78181,0.78184
2026-05-25 04:15:00,0.78183,0.78192,0.78155,0.78162
2026-05-25 04:30:00,0.78161,0.78207,0.78161,0.78203
2026-05-25 04:45:00,0.78202,0.78214,0.78196,0.78212
2026-05-25 05:00:00,0.78213,0.78213,0.78182,0.78192
2026-05-25 05:15:00,0.78191,0.782,0.78178,0.78184
2026-05-25 05:30:00,0.78183,0.78195,0.78181,0.78191
2026-05-25 05:45:00,0.7819,0.78218,0.78181,0.78208
2026-05-25 06:00:00,0.78207,0.7822,0.78196,0.78207
2026-05-25 06:15:00,0.78205,0.7822,0.78202,0.78215
2026-05-25 06:30:00,0.78214,0.78214,0.78189,0.78206
2026-05-25 06:45:00,0.78205,0.78225,0.78205,0.78216
2026-05-25 07:00:00,0.78217,0.78233,0.78214,0.78227
2026-05-25 07:15:00,0.78227,0.78235,0.78219,0.7822
2026-05-25 07:30:00,0.78219,0.78221,0.78201,0.78203
2026-05-25 07:45:00,0.78202,0.78206,0.78176,0.78188
2026-05-25 08:00:00,0.78186,0.78188,0.78159,0.78174
2026-05-25 08:15:00,0.78175,0.78187,0.78169,0.78179
2026-05-25 08:30:00,0.7818,0.78188,0.78168,0.78182
2026-05-25 08:45:00,0.78182,0.78213,0.78174,0.78209
2026-05-25 09:00:00,0.78212,0.78219,0.78185,0.78185
2026-05-25 09:15:00,0.78186,0.78203,0.78174,0.78194
2026-05-25 09:30:00,0.78195,0.78197,0.78156,0.78169
2026-05-25 09:45:00,0.78169,0.78175,0.78139,0.78162
2026-05-25 10:00:00,0.7816,0.78196,0.78148,0.78174
2026-05-25 10:15:00,0.78177,0.78233,0.78173,0.7821
2026-05-25 10:30:00,0.78209,0.78217,0.78183,0.78206
2026-05-25 10:45:00,0.78207,0.78219,0.78195,0.78195
2026-05-25 11:00:00,0.78193,0.78219,0.7817,0.78176
2026-05-25 11:15:00,0.78177,0.78199,0.78175,0.78197
2026-05-25 11:30:00,0.78196,0.78201,0.78167,0.78188
2026-05-25 11:45:00,0.78189,0.78191,0.78163,0.78166
2026-05-25 12:00:00,0.78167,0.78177,0.78147,0.78153
2026-05-25 12:15:00,0.78152,0.78162,0.78137,0.78152
2026-05-25 12:30:00,0.78151,0.78153,0.78126,0.78127
2026-05-25 12:45:00,0.78128,0.78158,0.78128,0.78154
2026-05-25 13:00:00,0.78151,0.78155,0.78141,0.78148
2026-05-25 13:15:00,0.78148,0.78153,0.78134,0.78152
2026-05-25 13:30:00,0.78152,0.78156,0.78121,0.78122
2026-05-25 13:45:00,0.78121,0.78148,0.78119,0.78139
2026-05-25 14:00:00,0.78139,0.78155,0.78134,0.78141
2026-05-25 14:15:00,0.7814,0.78141,0.78122,0.7813
2026-05-25 14:30:00,0.78128,0.78132,0.78091,0.78096
2026-05-25 14:45:00,0.78097,0.78138,0.78086,0.78134
2026-05-25 15:00:00,0.78135,0.78148,0.78117,0.78128
2026-05-25 15:15:00,0.78131,0.78135,0.78105,0.78126
2026-05-25 15:30:00,0.78125,0.78126,0.78088,0.7809
2026-05-25 15:45:00,0.78089,0.78113,0.78076,0.78104
2026-05-25 16:00:00,0.78105,0.78145,0.78094,0.78141
2026-05-25 16:15:00,0.78142,0.78224,0.78141,0.78222
2026-05-25 16:30:00,0.78222,0.7832,0.7822,0.78276
2026-05-25 16:45:00,0.78281,0.78323,0.78274,0.78313
2026-05-25 17:00:00,0.78314,0.78327,0.78294,0.78325
2026-05-25 17:15:00,0.78326,0.78327,0.78301,0.78311
2026-05-25 17:30:00,0.7831,0.78329,0.78284,0.78286
2026-05-25 17:45:00,0.78287,0.7831,0.78273,0.78297
2026-05-25 18:00:00,0.78296,0.78347,0.78275,0.78288
2026-05-25 18:15:00,0.78287,0.78289,0.78256,0.78273
2026-05-25 18:30:00,0.78275,0.7829,0.78272,0.78274
2026-05-25 18:45:00,0.78275,0.78293,0.78267,0.78286
2026-05-25 19:00:00,0.78284,0.78328,0.78283,0.78312
2026-05-25 19:15:00,0.78313,0.78328,0.78311,0.78324
2026-05-25 19:30:00,0.78323,0.78343,0.78321,0.78333
2026-05-25 19:45:00,0.7833,0.78332,0.78298,0.78299
2026-05-25 20:00:00,0.783,0.78308,0.78291,0.78295
2026-05-25 20:15:00,0.78295,0.78295,0.78272,0.78275
2026-05-25 20:30:00,0.78276,0.7828,0.78261,0.78264
2026-05-25 20:45:00,0.78265,0.78276,0.7826,0.78262
2026-05-25 21:00:00,0.78261,0.78271,0.78256,0.78257
2026-05-25 21:15:00,0.78257,0.78263,0.78255,0.78259
2026-05-25 21:30:00,0.78259,0.7827,0.78257,0.78262
2026-05-25 21:45:00,0.78263,0.78264,0.78249,0.78249
2026-05-25 22:00:00,0.7825,0.78264,0.7825,0.78263
2026-05-25 22:15:00,0.78262,0.78265,0.78255,0.78257
2026-05-25 22:30:00,0.78256,0.78263,0.78248,0.78253
2026-05-25 22:45:00,0.78254,0.7826,0.78251,0.78256
2026-05-25 23:00:00,0.78255,0.78257,0.78251,0.78252
2026-05-25 23:15:00,0.78253,0.78267,0.7825,0.78258
2026-05-25 23:30:00,0.78259,0.78268,0.78228,0.78233
2026-05-25 23:45:00,0.78234,0.78236,0.78213,0.78214
2026-05-26 00:00:00,0.78206,0.78245,0.78097,0.78207
2026-05-26 00:15:00,0.78208,0.78238,0.78207,0.78236
2026-05-26 00:30:00,0.78236,0.78242,0.78226,0.78239
2026-05-26 00:45:00,0.78239,0.78242,0.78224,0.78241
2026-05-26 01:00:00,0.78245,0.78304,0.78238,0.78273
2026-05-26 01:15:00,0.78272,0.78285,0.78272,0.78285
2026-05-26 01:30:00,0.78284,0.78287,0.78273,0.78275
2026-05-26 01:45:00,0.78276,0.7828,0.78272,0.78279
2026-05-26 02:00:00,0.78278,0.78278,0.78268,0.78272
2026-05-26 02:15:00,0.78273,0.78286,0.78269,0.78285
2026-05-26 02:30:00,0.78286,0.7831,0.78286,0.78305
2026-05-26 02:45:00,0.78304,0.78323,0.78292,0.78322
2026-05-26 03:00:00,0.78323,0.78346,0.78319,0.78332
2026-05-26 03:15:00,0.78333,0.78368,0.78324,0.78349
2026-05-26 03:30:00,0.78348,0.78352,0.78332,0.78343
2026-05-26 03:45:00,0.78344,0.78348,0.78321,0.78327
2026-05-26 04:00:00,0.78328,0.78343,0.78312,0.78315
2026-05-26 04:15:00,0.78316,0.78336,0.78313,0.78331
2026-05-26 04:30:00,0.7833,0.78382,0.78326,0.7837
2026-05-26 04:45:00,0.78371,0.78373,0.78342,0.78345
2026-05-26 05:00:00,0.78344,0.78353,0.7833,0.78351
2026-05-26 05:15:00,0.7835,0.78361,0.78342,0.78353
2026-05-26 05:30:00,0.78352,0.78358,0.78343,0.78357
2026-05-26 05:45:00,0.78358,0.78363,0.78339,0.78344
2026-05-26 06:00:00,0.78345,0.78345,0.78327,0.78331
2026-05-26 06:15:00,0.78332,0.78334,0.78304,0.78322
2026-05-26 06:30:00,0.78323,0.78324,0.78314,0.78317
2026-05-26 06:45:00,0.78318,0.7832,0.78291,0.78294
2026-05-26 07:00:00,0.78295,0.78318,0.78287,0.78287
2026-05-26 07:15:00,0.78288,0.78313,0.78287,0.78311
2026-05-26 07:30:00,0.78312,0.78324,0.78304,0.78318
2026-05-26 07:45:00,0.78317,0.78347,0.78315,0.78345
2026-05-26 08:00:00,0.78346,0.78353,0.78333,0.78343
2026-05-26 08:15:00,0.78343,0.78361,0.78337,0.78347
2026-05-26 08:30:00,0.78348,0.78365,0.7834,0.78364
2026-05-26 08:45:00,0.78363,0.78388,0.78358,0.78383
2026-05-26 09:00:00,0.78382,0.78399,0.78376,0.78391
2026-05-26 09:15:00,0.7839,0.78395,0.78344,0.78377
2026-05-26 09:30:00,0.78376,0.78426,0.78364,0.78399
2026-05-26 09:45:00,0.784,0.78512,0.78399,0.78481
2026-05-26 10:00:00,0.7848,0.78518,0.78446,0.7847
2026-05-26 10:15:00,0.78471,0.78498,0.78457,0.78482
2026-05-26 10:30:00,0.78482,0.78497,0.78434,0.78459
2026-05-26 10:45:00,0.78459,0.78479,0.78429,0.78439
2026-05-26 11:00:00,0.78438,0.78453,0.78412,0.7843
2026-05-26 11:15:00,0.78429,0.78448,0.78409,0.78429
2026-05-26 11:30:00,0.7843,0.78475,0.78422,0.78471
2026-05-26 11:45:00,0.7847,0.78475,0.78432,0.78459
2026-05-26 12:00:00,0.78457,0.78468,0.78425,0.78452
2026-05-26 12:15:00,0.78452,0.78469,0.78418,0.78418
2026-05-26 12:30:00,0.78419,0.78435,0.78407,0.78434
2026-05-26 12:45:00,0.78433,0.78434,0.78396,0.7842
2026-05-26 13:00:00,0.78421,0.78454,0.78418,0.78428
2026-05-26 13:15:00,0.78429,0.7844,0.78408,0.7841
2026-05-26 13:30:00,0.78409,0.78452,0.78395,0.78428
2026-05-26 13:45:00,0.78429,0.78453,0.78413,0.78452
2026-05-26 14:00:00,0.78452,0.78464,0.78423,0.78436
2026-05-26 14:15:00,0.78435,0.78467,0.78432,0.78466
2026-05-26 14:30:00,0.78465,0.7853,0.78446,0.78529
2026-05-26 14:45:00,0.7853,0.78533,0.78512,0.78531
2026-05-26 15:00:00,0.78533,0.78543,0.78509,0.78529
2026-05-26 15:15:00,0.78532,0.78536,0.78494,0.78506
2026-05-26 15:30:00,0.78505,0.78523,0.78499,0.78517
2026-05-26 15:45:00,0.78518,0.78524,0.78486,0.78506
2026-05-26 16:00:00,0.78507,0.78535,0.78492,0.78525
2026-05-26 16:15:00,0.78523,0.78535,0.78481,0.78533
2026-05-26 16:30:00,0.78532,0.78532,0.78479,0.78497
2026-05-26 16:45:00,0.78496,0.78581,0.78477,0.78482
2026-05-26 17:00:00,0.78483,0.78543,0.78469,0.78486
2026-05-26 17:15:00,0.78485,0.78544,0.78484,0.78504
2026-05-26 17:30:00,0.78506,0.78512,0.78452,0.78485
2026-05-26 17:45:00,0.78486,0.78545,0.78476,0.7854
2026-05-26 18:00:00,0.78541,0.78578,0.78539,0.78556
2026-05-26 18:15:00,0.78557,0.78598,0.78552,0.78583
2026-05-26 18:30:00,0.78582,0.78642,0.78571,0.7862
2026-05-26 18:45:00,0.78621,0.78623,0.78592,0.78599
2026-05-26 19:00:00,0.78595,0.78605,0.7857,0.78582
2026-05-26 19:15:00,0.78581,0.78588,0.78547,0.78552
2026-05-26 19:30:00,0.78553,0.78568,0.78527,0.78566
2026-05-26 19:45:00,0.78567,0.78584,0.78561,0.78575
2026-05-26 20:00:00,0.78575,0.78582,0.78558,0.78568
2026-05-26 20:15:00,0.7857,0.78575,0.78555,0.78573
2026-05-26 20:30:00,0.78574,0.7859,0.78564,0.78589
2026-05-26 20:45:00,0.7859,0.78602,0.78586,0.78589
2026-05-26 21:00:00,0.78588,0.786,0.78574,0.78577
2026-05-26 21:15:00,0.78578,0.78581,0.78568,0.78572
2026-05-26 21:30:00,0.78573,0.78584,0.78565,0.78576
