datetime,open,high,low,close
2026-04-01 00:00:00,0.6888,0.68949,0.6888,0.68938
2026-04-01 00:15:00,0.68938,0.68989,0.68904,0.68961
2026-04-01 00:30:00,0.68961,0.68971,0.68953,0.68965
2026-04-01 00:45:00,0.68961,0.69011,0.68943,0.68992
2026-04-01 01:00:00,0.68994,0.69031,0.68983,0.68998
2026-04-01 01:15:00,0.68996,0.69006,0.68967,0.68977
2026-04-01 01:30:00,0.68977,0.69008,0.68972,0.69001
2026-04-01 01:45:00,0.69002,0.69035,0.68994,0.69026
2026-04-01 02:00:00,0.69025,0.69054,0.69014,0.69047
2026-04-01 02:15:00,0.69049,0.69091,0.69046,0.69077
2026-04-01 02:30:00,0.69075,0.69098,0.69073,0.69096
2026-04-01 02:45:00,0.69096,0.69211,0.69094,0.692
2026-04-01 03:00:00,0.69199,0.69251,0.6915,0.69247
2026-04-01 03:15:00,0.69245,0.69268,0.69228,0.6926
2026-04-01 03:30:00,0.69261,0.69283,0.69225,0.69279
2026-04-01 03:45:00,0.69279,0.69299,0.69246,0.6927
2026-04-01 04:00:00,0.69268,0.69277,0.69104,0.69261
2026-04-01 04:15:00,0.69258,0.6926,0.69199,0.69256
2026-04-01 04:30:00,0.69257,0.69266,0.69124,0.6916
2026-04-01 04:45:00,0.6916,0.69169,0.69106,0.69141
2026-04-01 05:00:00,0.69141,0.69196,0.69125,0.69164
2026-04-01 05:15:00,0.69164,0.69177,0.69136,0.69157
2026-04-01 05:30:00,0.69156,0.69158,0.69117,0.69136
2026-04-01 05:45:00,0.69137,0.69165,0.69107,0.69113
2026-04-01 06:00:00,0.69113,0.69122,0.69085,0.69104
2026-04-01 06:15:00,0.69104,0.69114,0.69034,0.69037
2026-04-01 06:30:00,0.69036,0.69076,0.69019,0.69041
2026-04-01 06:45:00,0.69042,0.69052,0.69004,0.6904
2026-04-01 07:00:00,0.6904,0.69058,0.69017,0.6903
2026-04-01 07:15:00,0.69031,0.69032,0.68994,0.69029
2026-04-01 07:30:00,0.6903,0.69045,0.69015,0.69044
2026-04-01 07:45:00,0.69043,0.69061,0.69023,0.69024
