datetime,open,high,low,close
2026-05-25 00:00:00,0.81044,0.81117,0.8101,0.81027
2026-05-25 00:15:00,0.81027,0.81105,0.81023,0.81065
2026-05-25 00:30:00,0.81064,0.81071,0.81029,0.81058
2026-05-25 00:45:00,0.8106,0.81092,0.81,0.81084
2026-05-25 01:00:00,0.81018,0.81121,0.81018,0.81084
2026-05-25 01:15:00,0.81085,0.81095,0.81048,0.81055
2026-05-25 01:30:00,0.81054,0.81088,0.81039,0.81088
2026-05-25 01:45:00,0.81087,0.81124,0.81083,0.81111
2026-05-25 02:00:00,0.81111,0.81145,0.81111,0.81118
2026-05-25 02:15:00,0.81118,0.81119,0.81095,0.81099
2026-05-25 02:30:00,0.81099,0.81112,0.81086,0.811
2026-05-25 02:45:00,0.81099,0.811,0.81047,0.8105
2026-05-25 03:00:00,0.81048,0.81073,0.81025,0.81068
2026-05-25 03:15:00,0.81066,0.81113,0.8106,0.81113
2026-05-25 03:30:00,0.81113,0.81129,0.81085,0.81088
2026-05-25 03:45:00,0.81091,0.81156,0.81048,0.81059
2026-05-25 04:00:00,0.8106,0.81118,0.81058,0.81117
2026-05-25 04:15:00,0.81116,0.81139,0.81096,0.81139
2026-05-25 04:30:00,0.81138,0.81139,0.81082,0.81082
2026-05-25 04:45:00,0.81084,0.81099,0.8106,0.81061
2026-05-25 05:00:00,0.81061,0.81089,0.8106,0.81068
2026-05-25 05:15:00,0.81069,0.81105,0.81056,0.8109
2026-05-25 05:30:00,0.81089,0.81094,0.81062,0.81076
2026-05-25 05:45:00,0.81076,0.81078,0.81029,0.8104
2026-05-25 06:00:00,0.81039,0.81055,0.81028,0.81047
2026-05-25 06:15:00,0.81046,0.81064,0.81034,0.81062
2026-05-25 06:30:00,0.81061,0.81073,0.81055,0.81062
2026-05-25 06:45:00,0.8106,0.81064,0.81045,0.81054
2026-05-25 07:00:00,0.81053,0.81068,0.81049,0.81056
2026-05-25 07:15:00,0.81057,0.81098,0.81055,0.81097
2026-05-25 07:30:00,0.81097,0.81128,0.81089,0.81125
2026-05-25 07:45:00,0.81124,0.81144,0.81121,0.81124
2026-05-25 08:00:00,0.81123,0.81144,0.81118,0.81136
2026-05-25 08:15:00,0.81137,0.81141,0.81114,0.81118
2026-05-25 08:30:00,0.81117,0.81148,0.81108,0.81141
2026-05-25 08:45:00,0.8114,0.81147,0.81106,0.81113
2026-05-25 09:00:00,0.81113,0.8116,0.81102,0.81148
2026-05-25 09:15:00,0.81148,0.81149,0.81105,0.81111
2026-05-25 09:30:00,0.81112,0.8113,0.81103,0.81103
2026-05-25 09:45:00,0.81104,0.81129,0.81099,0.81111
2026-05-25 10:00:00,0.81112,0.81122,0.81073,0.81081
2026-05-25 10:15:00,0.81081,0.81083,0.81005,0.81049
2026-05-25 10:30:00,0.81051,0.81104,0.81049,0.81083
2026-05-25 10:45:00,0.81083,0.81087,0.81069,0.81083
2026-05-25 11:00:00,0.81085,0.81119,0.81074,0.81095
2026-05-25 11:15:00,0.81095,0.81105,0.81077,0.8108
2026-05-25 11:30:00,0.8108,0.81112,0.81077,0.81102
2026-05-25 11:45:00,0.81101,0.81112,0.81085,0.81104
2026-05-25 12:00:00,0.81105,0.81124,0.81102,0.81116
2026-05-25 12:15:00,0.81115,0.8112,0.811,0.81101
2026-05-25 12:30:00,0.81101,0.81113,0.81094,0.81105
2026-05-25 12:45:00,0.81106,0.81108,0.81088,0.81091
2026-05-25 13:00:00,0.8109,0.81105,0.81085,0.81096
2026-05-25 13:15:00,0.81095,0.81103,0.81076,0.81078
2026-05-25 13:30:00,0.81077,0.81091,0.8107,0.81091
2026-05-25 13:45:00,0.81092,0.81096,0.81075,0.81083
2026-05-25 14:00:00,0.81082,0.81117,0.8107,0.81108
2026-05-25 14:15:00,0.8111,0.81119,0.81096,0.81103
2026-05-25 14:30:00,0.81104,0.81146,0.811,0.81143
2026-05-25 14:45:00,0.81144,0.81159,0.81123,0.81125
2026-05-25 15:00:00,0.81126,0.81149,0.81112,0.81142
2026-05-25 15:15:00,0.81143,0.81156,0.81132,0.81139
2026-05-25 15:30:00,0.8114,0.81164,0.81137,0.81163
2026-05-25 15:45:00,0.81164,0.81167,0.81108,0.81115
2026-05-25 16:00:00,0.81115,0.81131,0.81096,0.81108
2026-05-25 16:15:00,0.81108,0.81109,0.81072,0.81084
2026-05-25 16:30:00,0.81085,0.81102,0.81065,0.81071
2026-05-25 16:45:00,0.8107,0.81095,0.81056,0.81059
2026-05-25 17:00:00,0.81058,0.81078,0.81041,0.81043
2026-05-25 17:15:00,0.81045,0.81063,0.81044,0.81059
